,n_sense
隨,8
除,4
自,7
那,11
咧,5
喲,4
囉,3
哩,3
哪,10
啦,7
呀,13
吧,6
呢,3
公,17
幼,4
另,4
凡,4
雖,1
儘,3
唯,2
單,5
盡,5
惟,2
光,8
近,8
各,2
共,4
僅,2
皆,1
實,6
倒,12
必,3
竟,2
需,1
別,9
總,7
非,6
愈,1
須,2
始,3
少,8
終,4
方,11
遂,3
乃,3
點,26
還,11
蠻,6
些,2
滿,7
夠,3
甚,6
頗,2
怎,3
互,1
厝,1
籤,4
灰,3
唇,1
陽,9
康,1
莫,3
莊,8
潘,1
傅,1
乙,6
金,15
范,1
史,5
諸,3
萬,5
千,2
百,2
何,5
數,9
九,2
上,45
八,2
七,2
下,49
半,4
十,2
六,2
五,2
秒,4
杯,5
頁,2
棵,1
局,7
台,11
陣,4
號,9
堆,5
隊,4
道,22
幅,6
根,8
所,6
口,13
聲,4
週,1
期,7
末,6
止,5
底,11
來,19
伊,8
汝,2
孰,3
余,1
彼,2
咱,2
牠,1
之,5
妳,1
誰,3
您,1
祂,1
吾,1
量,6
索,5
欠,6
分,29
賠,5
予,4
售,1
查,4
稱,5
考,6
猜,2
曰,6
表,16
算,10
裝,6
瞞,1
託,2
催,4
聘,1
奉,6
拒,3
罰,3
求,5
助,1
率,4
變,5
居,10
姓,2
遇,3
好,17
能,5
會,12
肯,2
后,20
株,2
朵,2
梅,5
內,9
外,10
裡,4
此,3
音,3
臺,11
啵,5
波,7
跑,10
脣,1
碗,2
勺,4
杓,3
並,2
并,2
起,29
承,2
叫,13
嘿,4
嗟,5
嗄,3
看,13
焉,4
留,11
裏,4
淨,7
令,11
沙,4
貳,3
白,19
呃,3
兩,5
晴,2
雌,4
怨,2
熟,10
咸,4
益,5
配,16
遞,3
死,19
易,8
固,7
嗜,2
魏,5
呂,1
陡,1
壹,6
連,10
摘,5
塞,12
卅,1
畝,8
想,9
次,9
甫,2
幢,4
傳,16
雙,4
付,6
租,4
噸,6
許,10
約,11
幾,4
頒,2
促,2
沈,11
絕,11
忽,2
理,11
磚,2
含,5
獨,5
現,7
派,7
勿,3
題,6
遍,4
贏,2
頓,4
輸,5
盤,14
邀,1
部,11
四,3
托,12
該,6
浸,2
忌,2
洪,1
游,6
狠,8
奶,12
積,2
認,9
混,10
蘇,11
招,17
微,4
匹,3
貴,11
免,6
重,17
眾,3
包,23
然,7
枚,6
擬,0
勸,1
反,11
坪,2
確,2
隻,7
真,18
全,7
最,2
儂,1
劫,3
啼,1
倘,1
透,11
砰,2
引,10
鈣,1
謎,2
沾,6
撐,7
盼,1
粒,4
懷,9
冊,3
絲,16
米,4
捐,2
逾,4
架,6
寄,4
艘,1
斤,2
里,2
封,10
謂,10
零,7
試,6
忘,2
均,5
亦,5
二,2
它,1
她,1
宜,3
敢,3
尚,5
惹,3
獻,3
退,11
輪,10
賴,6
尤,5
施,12
成,20
斯,3
雄,10
閏,4
操,11
擋,4
齣,1
餐,2
聊,3
刻,7
偷,4
行,25
式,9
則,6
班,16
兼,5
度,28
剛,8
座,10
塊,4
段,10
若,3
朕,1
攪,2
丁,12
授,2
盧,2
文,12
舜,1
旺,5
緩,6
啥,5
銀,7
母,10
州,3
顯,9
堂,12
老,18
顧,5
第,2
甲,12
費,3
富,6
猶,4
吋,2
廿,1
逼,5
副,6
喊,7
份,8
才,13
很,1
俺,2
雇,1
恕,3
勞,9
召,7
薛,1
私,9
丙,5
仙,5
核,6
億,1
忠,2
猛,7
尺,2
卷,13
繳,3
圈,18
票,9
瓶,4
門,16
團,9
發,42
早,14
片,21
類,5
句,3
太,3
都,6
硬,13
輕,19
談,4
洞,4
軟,7
說,16
煞,4
圍,6
賣,3
吞,3
嚥,1
即,10
雷,7
講,13
云,5
窗,4
章,8
趟,3
具,7
冷,13
懂,3
頸,2
肉,5
髒,4
牙,4
浮,4
飄,11
胸,4
這,7
黃,8
綠,8
黑,16
坐,12
殺,14
立,18
三,4
紅,8
手,6
走,20
山,4
鈍,2
銳,6
凍,5
冰,6
天,11
地,5
厚,7
燒,14
薄,10
聽,6
聞,5
唱,4
喝,5
吃,28
舌,2
尾,5
縫,4
爛,8
繩,2
蟲,3
煙,3
星,11
雪,2
雲,7
熱,25
轉,27
花,15
打,125
月,7
年,9
長,28
短,13
翅,4
膝,1
腫,2
吸,12
切,18
丟,6
石,10
油,10
流,11
推,18
拉,22
左,12
右,10
人,11
眼,7
笑,2
路,9
火,7
心,13
血,5
角,16
窄,4
寬,8
刺,12
濕,7
乾,18
咬,12
落,25
直,14
圓,6
河,5
海,10
湖,4
女,7
男,8
水,12
握,3
塵,3
鼻,3
骨,4
草,8
葉,8
鹽,2
蛋,5
壞,10
背,14
洗,8
飛,9
抓,9
髮,1
樹,4
腳,9
魚,3
躺,4
鳥,5
狗,6
皮,7
蛇,5
獵,6
肚,12
腸,4
肝,2
挖,5
結,9
擦,9
吹,10
耳,6
腿,9
壓,22
睡,10
新,12
玩,10
怕,5
他,4
你,4
我,3
沉,10
翼,5
語,8
言,12
林,6
李,4
霧,4
風,9
雨,3
霜,5
一,10
餘,7
極,6
王,8
劉,1
蔡,1
楊,3
鄭,9
謝,5
郭,3
邱,1
廖,1
蕭,3
高,25
朱,4
鍾,1
詹,1
彭,1
胡,8
趙,5
翁,1
梁,9
宋,8
鄧,2
曹,5
杜,1
藍,6
馬,19
歐,4
卓,1
董,1
蔣,4
馮,1
程,3
姚,1
古,6
姜,1
田,6
鄒,4
鐘,6
涂,1
嚴,8
龔,1
袁,1
黎,1
阮,7
錢,11
陸,7
邵,1
倪,1
譚,1
駱,1
熊,4
俞,3
粘,11
尹,2
凌,9
葛,4
褚,1
崔,1
闕,1
龍,17
關,18
丘,6
賈,1
韋,1
佘,1
蒲,1
武,6
邢,1
龐,3
利,10
鄔,1
鮑,2
聶,1
樊,1
滕,1
裴,1
卜,4
畢,5
鄞,1
牟,5
牛,11
閻,1
耿,1
覃,1
穆,1
甯,1
錡,1
奚,1
祁,1
艾,1
翟,1
靳,3
鄺,1
瞿,1
